Apple Pie            12345678
Apple                123456789
Pie                  12345678
Apple                123456789
Pie                  123456798
papapapapapapapappapapapappapa 12345678
cake                 123456789
papapappapapapapapapapapapappapapapapapa 123456789
papappa              9999999999999999999999999
papapapapapappapapapapapapapapa 123456789
john                 55      
cake                 1234567890
peterpeterpppppppppp 12345678
99999999999999999999 12345678
Jack                 1234
9999999999999999999   1234567
peterpeterppppppppp   1234567
Jack                  1234

